IDE;programa;IDG;corte1;corte2;curso;creditos;IDP;nestud;periodo;año;jornada;profesor;dedicacion;nsala
1500;Ingeniería Mecánica;G5;1;1;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;15
1620;Ingeniería Ambiental;G5;4;3;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;11
1675;Ingeniería De Sistemas;G5;4;3;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;17
1702;Ingeniería Ambiental;G5;4;3,5;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;12
1706;Ingeniería De Sistemas;G5;4;3;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;14
1716;Ingeniería Electrónica;G5;4,5;3;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;18
1763;Ingeniería Electrónica;G5;4;3,5;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;19
1768;Ingeniería Industrial;G5;4;1;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;13
1777;Ingeniería Ambiental;G5;4,5;3;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;18
1797;Ingeniería De Sistemas;G5;4,5;5;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;15
1819;Ingeniería Mecánica;G5;5;4,5;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;16
1892;Ingeniería Ambiental;G5;4;3;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;16
1923;Ingeniería Ambiental;G5;4;3;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;20
1934;Ingeniería Industrial;G5;4,5;3;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;14
1991;Ingeniería Electrónica;G5;4;3;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;20
2000;Ingeniería Ambiental;G5;2;1;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;19
2004;Ingeniería Electrónica;G5;4;3;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;11
2017;Ingeniería Ambiental;G5;4,5;3;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;13
2053;Ingeniería Ambiental;G5;4;3;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;17
2066;Ingeniería De Sistemas;G5;4;3;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;16
2069;Ingeniería Electrónica;G5;4;2,5;Algoritmos y programación;3;210;21;2;2017;día;Agamenón;Cátedra;12
1501;Ingeniería Ambiental;G12;0;0;Algoritmos y programación;3;218;21;2;2017;día;Dolón;TC;10
1630;Ingeniería Electrónica;G12;0;0;Algoritmos y programación;3;218;21;2;2017;día;Dolón;TC;10
1669;Ingeniería De Sistemas;G12;4;3,5;Algoritmos y programación;3;218;21;2;2017;día;Dolón;TC;1
1677;Ingeniería Electrónica;G12;4,5;4;Algoritmos y programación;3;218;21;2;2017;día;Dolón;TC;5
1681;Ingeniería Electrónica;G12;3,5;3;Algoritmos y programación;3;218;21;2;2017;día;Dolón;TC;6
1681;Ingeniería Electrónica;G12;3,5;3;Algoritmos y programación;3;218;21;2;2017;día;Dolón;TC;6
1720;Ingeniería Electrónica;G12;3;3,5;Algoritmos y programación;3;218;21;2;2017;día;Dolón;TC;5
1737;Ingeniería Ambiental;G12;0;0;Algoritmos y programación;3;218;21;2;2017;día;Dolón;TC;7
1738;Ingeniería Electrónica;G12;4,5;4,5;Algoritmos y programación;3;218;21;2;2017;día;Dolón;TC;4
1757;Ingeniería De Sistemas;G12;4;3,5;Algoritmos y programación;3;218;21;2;2017;día;Dolón;TC;9
1790;Ingeniería Electrónica;G12;4;3,5;Algoritmos y programación;3;218;21;2;2017;día;Dolón;TC;3
1811;Ingeniería Electrónica;G12;4,5;4,5;Algoritmos y programación;3;218;21;2;2017;día;Dolón;TC;4
1865;Ingeniería Mecánica;G12;4;3,5;Algoritmos y programación;3;218;21;2;2017;día;Dolón;TC;1
1883;Ingeniería Industrial;G12;5;5;Algoritmos y programación;3;218;21;2;2017;día;Dolón;TC;7
1896;Ingeniería Ambiental;G12;0;0;Algoritmos y programación;3;218;21;2;2017;día;Dolón;TC;6
1921;Ingeniería Ambiental;G12;4;3,5;Algoritmos y programación;3;218;21;2;2017;día;Dolón;TC;8
1924;Ingeniería Ambiental;G12;4,5;3;Algoritmos y programación;3;218;21;2;2017;día;Dolón;TC;9
1992;Ingeniería Electrónica;G12;4,5;4,5;Algoritmos y programación;3;218;21;2;2017;día;Dolón;TC;2
